iter	MultiClass
0	2.193969489
1	2.191015371
2	2.188475493
3	2.185600219
4	2.182495637
5	2.1800271
6	2.177013468
7	2.173659903
8	2.171193194
9	2.168345351
10	2.165559761
11	2.162760986
12	2.159815892
13	2.15713672
14	2.154874038
15	2.151925303
16	2.149028163
17	2.146594464
18	2.144212918
19	2.141464793
20	2.139165264
21	2.136213722
22	2.13300903
23	2.130524581
24	2.128411913
25	2.125420515
26	2.122733921
27	2.119997011
28	2.117681106
29	2.114996507
30	2.11273004
31	2.110240262
32	2.10795714
33	2.105584751
34	2.10250547
35	2.099963485
36	2.097365888
37	2.094633127
38	2.091612571
39	2.089703493
40	2.087070303
41	2.084089483
42	2.081584079
43	2.079402228
44	2.076615598
45	2.073848362
46	2.071261813
47	2.068830981
48	2.066022488
49	2.063888342
50	2.061500421
51	2.059033746
52	2.056602687
53	2.054458795
54	2.052144568
55	2.049501426
56	2.046976492
57	2.044389447
58	2.042430675
59	2.039609275
60	2.037269413
61	2.034796333
62	2.032274838
63	2.029579651
64	2.026992539
65	2.024438545
66	2.021772596
67	2.019116905
68	2.016986549
69	2.01482954
70	2.011935558
71	2.009588107
72	2.007235679
73	2.004848627
74	2.001965765
75	1.999843114
76	1.997721942
77	1.995467331
78	1.992897393
79	1.990722728
80	1.988608473
81	1.986235676
82	1.983546332
83	1.980912115
84	1.978581776
85	1.976174832
86	1.973790059
87	1.971332404
88	1.969370461
89	1.96725529
90	1.964740105
91	1.962314562
92	1.96016529
93	1.95810254
94	1.955827343
95	1.95342582
96	1.950995144
97	1.948716661
98	1.946239688
99	1.943790693
100	1.941496589
101	1.939096081
102	1.93694249
103	1.934663312
104	1.932697343
105	1.930564735
106	1.928522552
107	1.925923673
108	1.923436577
109	1.921036371
110	1.918813822
111	1.917031187
112	1.91446445
113	1.912009917
114	1.909667603
115	1.907135054
116	1.90537574
117	1.903315512
118	1.900991037
119	1.898847965
120	1.896479428
121	1.894461275
122	1.892209682
123	1.889749612
124	1.887689984
125	1.885465661
126	1.883618981
127	1.881631122
128	1.879611154
129	1.877736885
130	1.875574845
131	1.873593557
132	1.871620976
133	1.86958446
134	1.867788789
135	1.865582771
136	1.863141531
137	1.860985535
138	1.858742465
139	1.856657972
140	1.854809114
141	1.852458574
142	1.850127399
143	1.848424714
144	1.846208486
145	1.844409452
146	1.842128795
147	1.839731526
148	1.838217514
149	1.835869282
150	1.834079918
151	1.831983793
152	1.830131197
153	1.828063381
154	1.825887933
155	1.823904171
156	1.821701324
157	1.819959265
158	1.817954178
159	1.816061659
160	1.814238151
161	1.812264933
162	1.810305326
163	1.808398049
164	1.806378203
165	1.804498415
166	1.802490078
167	1.800620216
168	1.798942888
169	1.79694598
170	1.794979101
171	1.793014068
172	1.790800874
173	1.788958552
174	1.786993422
175	1.785253468
176	1.783188118
177	1.781241908
178	1.779488749
179	1.777874634
180	1.775979422
181	1.77395643
182	1.772061205
183	1.770104835
184	1.768058377
185	1.766208338
186	1.764025067
187	1.762087224
188	1.760797336
189	1.758799633
190	1.75695992
191	1.755353256
192	1.753282445
193	1.751425264
194	1.749569482
195	1.747873222
196	1.74596864
197	1.744257636
198	1.742571501
199	1.740615715
200	1.738930334
201	1.737168744
202	1.735137601
203	1.73332365
204	1.731711602
205	1.729899665
206	1.728164789
207	1.726337012
208	1.724546714
209	1.722856047
210	1.720838708
211	1.71901084
212	1.717424375
213	1.715590349
214	1.714119502
215	1.712436797
216	1.710819729
217	1.709322124
218	1.707793838
219	1.70610181
220	1.704100296
221	1.7021843
222	1.700344007
223	1.698680901
224	1.69667348
225	1.695030195
226	1.693290593
227	1.691754442
228	1.690064813
229	1.687988181
230	1.686210436
231	1.68459149
232	1.682612216
233	1.680790878
234	1.679087268
235	1.677309857
236	1.675737595
237	1.673882293
238	1.672150192
239	1.670303427
240	1.668741759
241	1.666821797
242	1.665227273
243	1.663498771
244	1.661777475
245	1.659963257
246	1.658217436
247	1.656605531
248	1.654843734
249	1.652885696
250	1.651065873
251	1.6491986
252	1.647453582
253	1.645643922
254	1.643988351
255	1.642454589
256	1.640744784
257	1.63914482
258	1.637662621
259	1.636081761
260	1.63443135
261	1.632643396
262	1.630952919
263	1.629168441
264	1.627470291
265	1.626116687
266	1.624420471
267	1.622527392
268	1.621077235
269	1.619350385
270	1.617603678
271	1.616116988
272	1.614565387
273	1.61293818
274	1.611434635
275	1.610092213
276	1.608505068
277	1.606947381
278	1.605621848
279	1.604044727
280	1.602193977
281	1.600684689
282	1.59897219
283	1.597432778
284	1.59595006
285	1.594282321
286	1.592606771
287	1.590995431
288	1.589503252
289	1.587879045
290	1.586249317
291	1.584555003
292	1.582880768
293	1.581208016
294	1.579773946
295	1.578391282
296	1.576865824
297	1.57539964
298	1.573748078
299	1.572196158
300	1.570698058
301	1.569282375
302	1.567919142
303	1.566322483
304	1.564741432
305	1.56331407
306	1.561886239
307	1.560413861
308	1.558709091
309	1.557136558
310	1.555571926
311	1.554007663
312	1.552551246
313	1.551172477
314	1.549679971
315	1.548229929
316	1.546601434
317	1.545216517
318	1.543864993
319	1.54248915
320	1.541109911
321	1.539680928
322	1.538273998
323	1.536782905
324	1.535300316
325	1.533720397
326	1.532466864
327	1.530941799
328	1.529639379
329	1.528181616
330	1.526829035
331	1.525414698
332	1.524033701
333	1.522599398
334	1.521336407
335	1.520064774
336	1.5186689
337	1.517276597
338	1.51574006
339	1.514301709
340	1.512766901
341	1.511290004
342	1.509860201
343	1.508434575
344	1.507073282
345	1.505673036
346	1.504130245
347	1.502669818
348	1.501348588
349	1.500110069
350	1.498800912
351	1.497232159
352	1.495801933
353	1.494310459
354	1.492808908
355	1.49151912
356	1.490088473
357	1.488807586
358	1.487530527
359	1.486158598
360	1.484524054
361	1.483071019
362	1.481614939
363	1.48032606
364	1.479108849
365	1.477796568
366	1.476250509
367	1.474943834
368	1.473584533
369	1.472104266
370	1.470715766
371	1.469250586
372	1.467900036
373	1.466847234
374	1.46552706
375	1.464200099
376	1.462807335
377	1.461489958
378	1.460086768
379	1.458740645
380	1.457293763
381	1.45606252
382	1.45476653
383	1.453369883
384	1.451979235
385	1.450697403
386	1.449368435
387	1.447874988
388	1.4465613
389	1.445173448
390	1.443680519
391	1.442495518
392	1.441163805
393	1.439819094
394	1.438374218
395	1.437210382
396	1.435902596
397	1.434641828
398	1.433256767
399	1.431956409
400	1.430517023
401	1.429167383
402	1.427870827
403	1.426598302
404	1.425312407
405	1.424105469
406	1.422935458
407	1.421807396
408	1.420833897
409	1.419656045
410	1.418572982
411	1.417333799
412	1.416045141
413	1.414943994
414	1.413787355
415	1.41257137
416	1.411287326
417	1.409779604
418	1.408530313
419	1.407186367
420	1.405884575
421	1.404660885
422	1.403352079
423	1.40211221
424	1.400860487
425	1.399572912
426	1.398533652
427	1.397331553
428	1.396094845
429	1.395072186
430	1.39354724
431	1.392349173
432	1.391049971
433	1.389662444
434	1.388599014
435	1.387454433
436	1.386382231
437	1.385194772
438	1.383943182
439	1.382753201
440	1.381484551
441	1.380414146
442	1.379322959
443	1.378105224
444	1.376997854
445	1.375670296
446	1.374508325
447	1.373244812
448	1.372103131
449	1.370990017
450	1.369824672
451	1.368624934
452	1.367416355
453	1.366240922
454	1.365017721
455	1.363792229
456	1.362562929
457	1.36152377
458	1.360366076
459	1.359129018
460	1.357992913
461	1.356890523
462	1.355917841
463	1.354789163
464	1.353656537
465	1.35253636
466	1.351421158
467	1.350218528
468	1.348955961
469	1.347839035
470	1.346728157
471	1.345580416
472	1.344437968
473	1.343240528
474	1.342171662
475	1.341046939
476	1.33995769
477	1.338846622
478	1.337747475
479	1.336644542
480	1.335494142
481	1.33452856
482	1.333335658
483	1.332231474
484	1.330964795
485	1.329929482
486	1.328881151
487	1.32758171
488	1.326529635
489	1.325397239
490	1.324329371
491	1.323291486
492	1.322173375
493	1.321100595
494	1.319931783
495	1.318926515
496	1.317836719
497	1.316732641
498	1.315634171
499	1.31452249
500	1.313315373
501	1.312232348
502	1.311108672
503	1.309969372
504	1.308762163
505	1.307794968
506	1.306784597
507	1.305693827
508	1.304518534
509	1.303454455
510	1.302375463
511	1.301239124
512	1.300236626
513	1.299226525
514	1.298260251
515	1.297201904
516	1.296110797
517	1.295001898
518	1.293795531
519	1.292665102
520	1.291542058
521	1.290549499
522	1.289532301
523	1.288401585
524	1.287238291
525	1.285976413
526	1.284962242
527	1.283769083
528	1.282576263
529	1.281475787
530	1.280354123
531	1.279318792
532	1.278231229
533	1.277118508
534	1.27612975
535	1.27504108
536	1.274014757
537	1.272904444
538	1.271887745
539	1.270994841
540	1.269972253
541	1.268888421
542	1.26792991
543	1.26697894
544	1.265966871
545	1.264990026
546	1.263945914
547	1.262773241
548	1.261717616
549	1.260668111
550	1.259680788
551	1.258705318
552	1.257890842
553	1.256862729
554	1.256060791
555	1.255060446
556	1.254006916
557	1.253138815
558	1.252134597
559	1.251203688
560	1.250230726
561	1.249067742
562	1.248056012
563	1.247059183
564	1.246079472
565	1.244897508
566	1.24383424
567	1.24272723
568	1.241787346
569	1.240893377
570	1.239906508
571	1.238822836
572	1.237817954
573	1.236749293
574	1.23574949
575	1.234725871
576	1.23365901
577	1.23270852
578	1.231724845
579	1.230684947
580	1.229806978
581	1.228781937
582	1.227764616
583	1.226775035
584	1.225808238
585	1.224724359
586	1.223801472
587	1.222905879
588	1.221869199
589	1.220999846
590	1.220021348
591	1.219056358
592	1.217972413
593	1.217054777
594	1.216035078
595	1.215104499
596	1.214172486
597	1.213127144
598	1.212254884
599	1.211372513
600	1.210271935
601	1.20946357
602	1.208480203
603	1.207481969
604	1.206533625
605	1.205695551
606	1.204720512
607	1.203755372
608	1.20273127
609	1.201792594
610	1.200805283
611	1.199912604
612	1.198984151
613	1.197974032
614	1.196996409
615	1.19603168
616	1.195227934
617	1.194215441
618	1.193237373
619	1.192335162
620	1.191460031
621	1.190513623
622	1.189493982
623	1.188514591
624	1.187590353
625	1.186693489
626	1.185854457
627	1.184959292
628	1.183962429
629	1.182971843
630	1.1820933
631	1.181188755
632	1.180304341
633	1.179433384
634	1.17853466
635	1.177577793
636	1.176738445
637	1.175788351
638	1.174903003
639	1.17412625
640	1.173209037
641	1.172166766
642	1.171397294
643	1.170449536
644	1.169639098
645	1.168630209
646	1.16770154
647	1.166787398
648	1.165900572
649	1.164977817
650	1.164120367
651	1.163223316
652	1.1623036
653	1.16145799
654	1.160444278
655	1.159551375
656	1.158663455
657	1.157720026
658	1.156841404
659	1.155964866
660	1.155129153
661	1.154237419
662	1.153340571
663	1.152378269
664	1.151507635
665	1.15060674
666	1.149714238
667	1.148934709
668	1.148037787
669	1.147176792
670	1.146271748
671	1.145344685
672	1.144533115
673	1.143746079
674	1.14296096
675	1.142118305
676	1.141274913
677	1.140341552
678	1.139472882
679	1.138694056
680	1.137757026
681	1.136876358
682	1.136038095
683	1.13506581
684	1.134129203
685	1.133294811
686	1.132457931
687	1.13151891
688	1.130662605
689	1.129743019
690	1.129000953
691	1.128263886
692	1.127346609
693	1.126454362
694	1.12568808
695	1.124984938
696	1.124133658
697	1.123339537
698	1.122572793
699	1.121793641
700	1.120971002
701	1.120229185
702	1.119261701
703	1.118403067
704	1.117639043
705	1.11673077
706	1.115877319
707	1.115031277
708	1.114257754
709	1.113338997
710	1.112519394
711	1.111659616
712	1.110893474
713	1.110090465
714	1.109258628
715	1.108394412
716	1.107576094
717	1.106750958
718	1.105995306
719	1.1053153
720	1.104442301
721	1.103557838
722	1.102766998
723	1.101921918
724	1.101171725
725	1.100391393
726	1.099462843
727	1.098621447
728	1.09773554
729	1.097087441
730	1.096243214
731	1.095290614
732	1.094440412
733	1.093659071
734	1.092887057
735	1.092238058
736	1.091412733
737	1.09057055
738	1.089681702
739	1.088825284
740	1.088054535
741	1.087273057
742	1.086483247
743	1.085730265
744	1.084835526
745	1.083993274
746	1.08323227
747	1.08252303
748	1.081753374
749	1.080952624
750	1.080172367
751	1.079436854
752	1.078569133
753	1.077814492
754	1.077006614
755	1.076170863
756	1.075266738
757	1.074491675
758	1.073574362
759	1.072823434
760	1.071993474
761	1.071262141
762	1.070456725
763	1.069711212
764	1.068972568
765	1.068224144
766	1.067345859
767	1.066522531
768	1.065735856
769	1.065028452
770	1.064215032
771	1.063445732
772	1.062871404
773	1.062011148
774	1.061242488
775	1.060478017
776	1.059649743
777	1.058866349
778	1.05806833
779	1.057314492
780	1.056547293
781	1.055798888
782	1.055100422
783	1.054346669
784	1.053610569
785	1.052806006
786	1.051993016
787	1.051235388
788	1.050403932
789	1.049549425
790	1.048799086
791	1.048025541
792	1.047246255
793	1.04658988
794	1.045902862
795	1.045215724
796	1.044486093
797	1.04370044
798	1.042989475
799	1.042192581
800	1.041456906
801	1.040639842
802	1.039861872
803	1.03922092
804	1.03840769
805	1.037570318
806	1.036785917
807	1.0360099
808	1.035287502
809	1.034649099
810	1.033926888
811	1.033320547
812	1.032511707
813	1.031753097
814	1.031020049
815	1.030296942
816	1.029625506
817	1.028919619
818	1.028143699
819	1.027425146
820	1.026714153
821	1.026077757
822	1.025359564
823	1.024620354
824	1.023984494
825	1.023247901
826	1.022477226
827	1.021721392
828	1.020938863
829	1.02023463
830	1.019443151
831	1.018737364
832	1.017916022
833	1.017273421
834	1.016559431
835	1.015929508
836	1.015144418
837	1.014454317
838	1.013769486
