iter	Passed	Remaining
0	189	189680
1	237	118756
2	285	94844
3	334	83237
4	377	75171
5	422	70037
6	467	66340
7	512	63491
8	560	61679
9	604	59864
10	655	58899
11	705	58079
12	750	57008
13	799	56292
14	848	55705
15	899	55290
16	950	54972
17	1000	54580
18	1048	54155
19	1096	53751
20	1145	53400
21	1195	53166
22	1244	52883
23	1293	52616
24	1340	52279
25	1390	52106
26	1438	51844
27	1486	51590
28	1534	51382
29	1586	51301
30	1635	51120
31	1680	50844
32	1725	50572
33	1769	50269
34	1820	50190
35	1872	50148
36	1920	49983
37	1963	49716
38	2009	49506
39	2055	49333
40	2104	49220
41	2154	49133
42	2198	48933
43	2242	48722
44	2292	48658
45	2344	48614
46	2393	48522
47	2436	48317
48	2484	48228
49	2532	48124
50	2583	48077
51	2627	47909
52	2672	47750
53	2720	47654
54	2768	47573
55	2815	47461
56	2859	47307
57	2904	47173
58	2952	47084
59	2997	46967
60	3049	46941
61	3093	46804
62	3138	46679
63	3183	46553
64	3227	46427
65	3289	46552
66	3334	46440
67	3381	46342
68	3430	46280
69	3474	46158
70	3518	46039
71	3563	45923
72	3608	45827
73	3656	45753
74	3707	45729
75	3752	45619
76	3796	45503
77	3843	45426
78	3892	45378
79	3943	45348
80	3987	45236
81	4031	45131
82	4075	45029
83	4127	45012
84	4174	44936
85	4218	44829
86	4262	44732
87	4316	44738
88	4367	44702
89	4415	44646
90	4464	44596
91	4508	44497
92	4552	44400
93	4605	44393
94	4656	44361
95	4701	44271
96	4745	44178
97	4789	44081
98	4839	44044
99	4887	43991
100	4932	43906
101	4976	43809
102	5024	43754
103	5070	43687
104	5123	43669
105	5167	43583
106	5215	43526
107	5259	43442
108	5307	43382
109	5354	43326
110	5399	43248
111	5445	43175
112	5491	43105
113	5543	43080
114	5593	43043
115	5637	42963
116	5687	42921
117	5736	42878
118	5784	42823
119	5830	42759
120	5878	42706
121	5927	42656
122	5973	42590
123	6020	42535
124	6067	42469
125	6112	42401
126	6160	42347
127	6205	42273
128	6255	42234
129	6302	42177
130	6345	42095
131	6389	42015
132	6436	41960
133	6482	41894
134	6534	41867
135	6578	41789
136	6621	41712
137	6670	41665
138	6720	41628
139	6768	41579
140	6816	41526
141	6861	41457
142	6910	41411
143	6959	41371
144	7007	41322
145	7051	41246
146	7099	41196
147	7147	41148
148	7195	41098
149	7246	41063
150	7290	40989
151	7333	40914
152	7382	40869
153	7432	40832
154	7484	40800
155	7532	40750
156	7582	40715
157	7626	40644
158	7674	40590
159	7721	40538
160	7765	40465
161	7808	40392
162	7852	40324
163	7898	40263
164	7949	40231
165	7998	40186
166	8041	40112
167	8090	40068
168	8141	40031
169	8190	39988
170	8233	39917
171	8283	39874
172	8326	39801
173	8376	39762
174	8426	39724
175	8477	39690
176	8524	39635
177	8574	39596
178	8620	39539
179	8673	39512
180	8721	39463
181	8765	39398
182	8811	39337
183	8857	39279
184	8904	39227
185	8951	39176
186	8999	39128
187	9047	39077
188	9094	39026
189	9146	38994
190	9192	38934
191	9235	38867
192	9284	38822
193	9336	38788
194	9382	38733
195	9427	38670
196	9475	38624
197	9521	38567
198	9568	38513
199	9616	38466
200	9664	38417
201	9708	38352
202	9755	38301
203	9805	38261
204	9852	38207
205	9900	38158
206	9944	38096
207	9994	38057
208	10042	38006
209	10088	37953
210	10132	37890
211	10183	37850
212	10227	37790
213	10274	37737
214	10322	37689
215	10372	37646
216	10420	37599
217	10467	37549
218	10514	37495
219	10561	37444
220	10605	37383
221	10649	37319
222	10694	37262
223	10744	37222
224	10793	37176
225	10838	37118
226	10886	37070
227	10929	37007
228	10980	36970
229	11028	36922
230	11077	36875
231	11121	36814
232	11170	36769
233	11217	36721
234	11270	36688
235	11314	36628
236	11358	36566
237	11405	36515
238	11457	36480
239	11504	36431
240	11548	36370
241	11591	36308
242	11640	36263
243	11686	36208
244	11738	36172
245	11786	36124
246	11834	36078
247	11879	36020
248	11929	35980
249	11979	35937
250	12023	35879
251	12071	35830
252	12119	35784
253	12171	35746
254	12217	35695
255	12267	35653
256	12313	35598
257	12357	35539
258	12407	35498
259	12458	35458
260	12505	35407
261	12562	35385
262	12610	35338
263	12659	35294
264	12709	35250
265	12758	35204
266	12821	35199
267	12870	35152
268	12914	35094
269	12958	35035
270	13007	34989
271	13054	34939
272	13105	34899
273	13155	34858
274	13204	34812
275	13248	34754
276	13296	34706
277	13343	34655
278	13390	34604
279	13436	34549
280	13481	34495
281	13529	34446
282	13580	34408
283	13637	34382
284	13685	34334
285	13734	34287
286	13787	34251
287	13831	34194
288	13879	34145
289	13922	34085
290	13973	34044
291	14024	34005
292	14072	33957
293	14119	33906
294	14164	33849
295	14215	33810
296	14261	33756
297	14309	33708
298	14353	33651
299	14397	33593
300	14447	33549
301	14495	33502
302	14539	33444
303	14587	33398
304	14632	33343
305	14682	33298
306	14729	33249
307	14777	33200
308	14821	33145
309	14869	33097
310	14917	33049
311	14965	33000
312	15012	32950
313	15059	32899
314	15106	32849
315	15156	32808
316	15204	32758
317	15252	32712
318	15297	32657
319	15347	32612
320	15398	32572
321	15444	32520
322	15493	32473
323	15537	32417
324	15585	32370
325	15637	32330
326	15689	32291
327	15733	32233
328	15780	32184
329	15825	32130
330	15876	32089
331	15923	32038
332	15969	31987
333	16018	31940
334	16066	31893
335	16118	31852
336	16165	31803
337	16208	31745
338	16257	31699
339	16302	31646
340	16350	31598
341	16398	31550
342	16447	31504
343	16492	31450
344	16539	31401
345	16591	31361
346	16639	31313
347	16684	31260
348	16728	31204
349	16772	31149
350	16823	31107
351	16870	31057
352	16915	31003
353	16962	30954
354	17007	30900
355	17054	30851
356	17101	30802
357	17145	30747
358	17194	30700
359	17243	30655
360	17287	30601
361	17340	30561
362	17385	30507
363	17430	30455
364	17480	30410
365	17531	30368
366	17580	30321
367	17622	30265
368	17666	30210
369	17712	30158
370	17763	30116
371	17810	30067
372	17854	30012
373	17899	29960
374	17949	29915
375	18000	29873
376	18047	29823
377	18090	29768
378	18138	29719
379	18186	29672
380	18235	29626
381	18283	29578
382	18330	29530
383	18375	29476
384	18423	29429
385	18472	29383
386	18518	29333
387	18564	29282
388	18612	29233
389	18656	29181
390	18707	29138
391	18759	29095
392	18807	29048
393	18852	28995
394	18896	28942
395	18942	28892
396	18989	28842
397	19032	28787
398	19081	28741
399	19129	28694
400	19181	28653
401	19232	28609
402	19275	28554
403	19322	28505
404	19370	28458
405	19417	28409
406	19470	28368
407	19514	28315
408	19563	28269
409	19608	28216
410	19659	28173
411	19705	28123
412	19749	28070
413	19793	28017
414	19837	27964
415	19887	27919
416	19937	27874
417	19981	27821
418	20026	27769
419	20075	27722
420	20120	27671
421	20173	27631
422	20221	27583
423	20268	27535
424	20313	27482
425	20363	27438
426	20411	27390
427	20460	27344
428	20504	27291
429	20547	27237
430	20594	27189
431	20642	27141
432	20691	27094
433	20736	27043
434	20781	26991
435	20828	26943
436	20880	26900
437	20924	26848
438	20969	26797
439	21013	26744
440	21059	26694
441	21108	26648
442	21153	26596
443	21201	26549
444	21245	26497
445	21296	26453
446	21344	26405
447	21387	26352
448	21432	26301
449	21480	26254
450	21529	26208
451	21578	26161
452	21621	26108
453	21670	26061
454	21714	26009
455	21763	25963
456	21812	25917
457	21856	25864
458	21901	25814
459	21946	25763
460	21996	25718
461	22048	25676
462	22096	25628
463	22140	25575
464	22185	25525
465	22231	25475
